file_name,parent_dir,type,size
Sem_8,Рабочий стол,dir,28149
date_users.csv,Sem_8,file,363
date_users.json,Sem_8,file,463
date_users.pickle,Sem_8,file,297
file_task4.csv,Sem_8,file,361
file_task4.json,Sem_8,file,1664
file_task4.pickle,Sem_8,file,661
file_task4_6.csv,Sem_8,file,641
home_work_task8.py,Sem_8,file,3423
name_list.txt,Sem_8,file,146
new_user.json,Sem_8,file,315
new_user.pickle,Sem_8,file,262
new_user_6.csv,Sem_8,file,0
result.csv,Sem_8,file,863
result.json,Sem_8,file,3455
result.pickle,Sem_8,file,1030
result.txt,Sem_8,file,300
seminar_json.py,Sem_8,file,3279
task1.py,Sem_8,file,1154
task2.py,Sem_8,file,1966
task3.py,Sem_8,file,901
task4.py,Sem_8,file,1635
task5.py,Sem_8,file,807
task6.py,Sem_8,file,1284
task7.py,Sem_8,file,519
temp.py,Sem_8,file,1953
user_file.txt,Sem_8,file,148
__init__.py,Sem_8,file,259
